seqcol_digest,refget_digest,alias,alias_kind,sequence_accession
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.1OPXbmGj5JKtFNm-eRp0W270cgBgsTly,chrUn_gl000223,ucsc,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.1VIfWolFZeqoQU6YO0aj1Vhol9OZPRak,GL000213.1,genbank_accession,GL000213.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.1VIfWolFZeqoQU6YO0aj1Vhol9OZPRak,NT_167208.1,refseq_accession,NT_167208.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.1VIfWolFZeqoQU6YO0aj1Vhol9OZPRak,HSCHRUN_RANDOM_CTG3,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.1VIfWolFZeqoQU6YO0aj1Vhol9OZPRak,chrUn_gl000213,ucsc,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.1kDCj75Ih0ytr07O6dIA2HrzJ5bpqDec,JH806589.1,genbank_accession,JH806589.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.1kDCj75Ih0ytr07O6dIA2HrzJ5bpqDec,NW_004070879.1,refseq_accession,NW_004070879.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.1kDCj75Ih0ytr07O6dIA2HrzJ5bpqDec,HG1435_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.25NlE4s4JcWYeHdkVivjhmijSdmI2jah,GL383548.1,genbank_accession,GL383548.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.25NlE4s4JcWYeHdkVivjhmijSdmI2jah,NW_003315937.1,refseq_accession,NW_003315937.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.25NlE4s4JcWYeHdkVivjhmijSdmI2jah,HG996_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.2LEWMcieZGf9Sx4VpEeWSDcULUVHGm0w,GL000195.1,genbank_accession,GL000195.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.2LEWMcieZGf9Sx4VpEeWSDcULUVHGm0w,NT_113901.1,refseq_accession,NT_113901.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.2LEWMcieZGf9Sx4VpEeWSDcULUVHGm0w,HSCHR7_RANDOM_CTG1,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.2LEWMcieZGf9Sx4VpEeWSDcULUVHGm0w,chr7_gl000195_random,ucsc,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.2QR7W9VM3BUBu-bYmzKd9JLgdb3kkcvB,JH720452.1,genbank_accession,JH720452.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.2QR7W9VM3BUBu-bYmzKd9JLgdb3kkcvB,NW_003871099.1,refseq_accession,NW_003871099.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.2QR7W9VM3BUBu-bYmzKd9JLgdb3kkcvB,HG1424_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.2boxphNca4urkC4mSa6VVm9wia0VXcW-,GL877871.1,genbank_accession,GL877871.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.2boxphNca4urkC4mSa6VVm9wia0VXcW-,NW_003571032.1,refseq_accession,NW_003571032.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.2boxphNca4urkC4mSa6VVm9wia0VXcW-,HG686_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.3IMtzIioR9P6hmwAcLFbjPrLHm8n-jZQ,GL000200.1,genbank_accession,GL000200.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.3IMtzIioR9P6hmwAcLFbjPrLHm8n-jZQ,NT_113915.1,refseq_accession,NT_113915.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.3IMtzIioR9P6hmwAcLFbjPrLHm8n-jZQ,HSCHR9_RANDOM_CTG4,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.3IMtzIioR9P6hmwAcLFbjPrLHm8n-jZQ,chr9_gl000200_random,ucsc,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.3OZGaD9gewowtxWoC5B1CJ5By7Czsl1v,JH636056.1,genbank_accession,JH636056.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.3OZGaD9gewowtxWoC5B1CJ5By7Czsl1v,NW_003871062.1,refseq_accession,NW_003871062.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.3OZGaD9gewowtxWoC5B1CJ5By7Czsl1v,HG1304_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.499Ze6SAR-RGaHRnZSDxj4gOvUR1xVh1,GL383536.1,genbank_accession,GL383536.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.499Ze6SAR-RGaHRnZSDxj4gOvUR1xVh1,NW_003315924.1,refseq_accession,NW_003315924.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.499Ze6SAR-RGaHRnZSDxj4gOvUR1xVh1,HG243_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.4B6-ZKomKbCP3qJdfB8XKcD2ENOifPCf,GL000221.1,genbank_accession,GL000221.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.4B6-ZKomKbCP3qJdfB8XKcD2ENOifPCf,NT_167215.1,refseq_accession,NT_167215.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.4B6-ZKomKbCP3qJdfB8XKcD2ENOifPCf,HSCHRUN_RANDOM_CTG13,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.4B6-ZKomKbCP3qJdfB8XKcD2ENOifPCf,chrUn_gl000221,ucsc,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.4LAplxkttGPS0J08njLBPo2l00fQcTNn,JH806595.1,genbank_accession,JH806595.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.4LAplxkttGPS0J08njLBPo2l00fQcTNn,NW_004070885.1,refseq_accession,NW_004070885.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.4LAplxkttGPS0J08njLBPo2l00fQcTNn,HG1441_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.4TN2_zia1kax3s2FbzEm8_l3ZM7YTZmF,JH806579.1,genbank_accession,JH806579.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.4TN2_zia1kax3s2FbzEm8_l3ZM7YTZmF,NW_004070869.1,refseq_accession,NW_004070869.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.4TN2_zia1kax3s2FbzEm8_l3ZM7YTZmF,HG1502_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.4UtsO5P3uzzKS5LrK3MtXFpkYV3PWDQ_,GL383582.2,genbank_accession,GL383582.2
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.4UtsO5P3uzzKS5LrK3MtXFpkYV3PWDQ_,NW_003315971.2,refseq_accession,NW_003315971.2
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.4UtsO5P3uzzKS5LrK3MtXFpkYV3PWDQ_,HSCHR22_1_CTG1,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.4gY0lzvpaIS8TVtARi5unA8nYYUVX33L,JH159138.1,genbank_accession,JH159138.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.4gY0lzvpaIS8TVtARi5unA8nYYUVX33L,NW_003871076.1,refseq_accession,NW_003871076.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.4gY0lzvpaIS8TVtARi5unA8nYYUVX33L,HG299_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.4irlBeCQ5rmAyWqZn31K8ZpThobzfzmS,JH806588.1,genbank_accession,JH806588.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.4irlBeCQ5rmAyWqZn31K8ZpThobzfzmS,NW_004070878.1,refseq_accession,NW_004070878.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.4irlBeCQ5rmAyWqZn31K8ZpThobzfzmS,HG1434_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.51PUjeWAbT2GqyViSiTuitjc9mwNQhhX,JH591185.1,genbank_accession,JH591185.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.51PUjeWAbT2GqyViSiTuitjc9mwNQhhX,NW_003871082.1,refseq_accession,NW_003871082.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.51PUjeWAbT2GqyViSiTuitjc9mwNQhhX,HG873_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.5E1PxF3L7JrKMS_BZ3AIFO2JEGRn3FEg,KE332505.1,genbank_accession,KE332505.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.5E1PxF3L7JrKMS_BZ3AIFO2JEGRn3FEg,NW_004775434.1,refseq_accession,NW_004775434.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.5E1PxF3L7JrKMS_BZ3AIFO2JEGRn3FEg,HG1350_HG959_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.5Ji6FGEKfejK1U6BMScqrdKJK8GqmIGf,CM000676.1,genbank_accession,CM000676.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.5Ji6FGEKfejK1U6BMScqrdKJK8GqmIGf,NC_000014.8,refseq_accession,NC_000014.8
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.5Ji6FGEKfejK1U6BMScqrdKJK8GqmIGf,14,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.5Ji6FGEKfejK1U6BMScqrdKJK8GqmIGf,chr14,ucsc,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.5NFYPLvdlDVlaeC9OTBrBNXPR6MIQhTT,JH636055.1,genbank_accession,JH636055.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.5NFYPLvdlDVlaeC9OTBrBNXPR6MIQhTT,NW_003871060.1,refseq_accession,NW_003871060.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.5NFYPLvdlDVlaeC9OTBrBNXPR6MIQhTT,HSCHR3_1_CTG1,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.6FO4t2Q2zWcYDWrduHgv1951yvJ_YeDf,JH720448.1,genbank_accession,JH720448.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.6FO4t2Q2zWcYDWrduHgv1951yvJ_YeDf,NW_003871095.1,refseq_accession,NW_003871095.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.6FO4t2Q2zWcYDWrduHgv1951yvJ_YeDf,HG144_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.6qs0cVz5cg1ixn4oosY3LufJfAztgSji,GL582972.1,genbank_accession,GL582972.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.6qs0cVz5cg1ixn4oosY3LufJfAztgSji,NW_003571041.1,refseq_accession,NW_003571041.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.6qs0cVz5cg1ixn4oosY3LufJfAztgSji,HG946_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.6vB1NDw4x2ACzR8hDqznMK5NjPvm_uR7,KB663608.1,genbank_accession,KB663608.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.6vB1NDw4x2ACzR8hDqznMK5NjPvm_uR7,NW_004504304.1,refseq_accession,NW_004504304.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.6vB1NDw4x2ACzR8hDqznMK5NjPvm_uR7,HG944_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.738_UZ9iXX-9TyPzrPB68doUMKkpN7sh,JH591181.2,genbank_accession,JH591181.2
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.738_UZ9iXX-9TyPzrPB68doUMKkpN7sh,NW_003871068.1,refseq_accession,NW_003871068.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.738_UZ9iXX-9TyPzrPB68doUMKkpN7sh,HG1211_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.7C__QM-xdQ4U_VbZNyLKqaCmq1alAsAw,GL000231.1,genbank_accession,GL000231.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.7C__QM-xdQ4U_VbZNyLKqaCmq1alAsAw,NT_167225.1,refseq_accession,NT_167225.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.7C__QM-xdQ4U_VbZNyLKqaCmq1alAsAw,HSCHRUN_RANDOM_CTG24,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.7C__QM-xdQ4U_VbZNyLKqaCmq1alAsAw,chrUn_gl000231,ucsc,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.7Fmp4pU2KBOtIhW2ZeL6CXxGP4sy606F,GL000224.1,genbank_accession,GL000224.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.7Fmp4pU2KBOtIhW2ZeL6CXxGP4sy606F,NT_167218.1,refseq_accession,NT_167218.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.7Fmp4pU2KBOtIhW2ZeL6CXxGP4sy606F,HSCHRUN_RANDOM_CTG16,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.7Fmp4pU2KBOtIhW2ZeL6CXxGP4sy606F,chrUn_gl000224,ucsc,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.7WarMT6pVI6hCrnBl_GJLgurKTN2rH-1,GL949749.1,genbank_accession,GL949749.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.7WarMT6pVI6hCrnBl_GJLgurKTN2rH-1,NW_003571057.1,refseq_accession,NW_003571057.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.7WarMT6pVI6hCrnBl_GJLgurKTN2rH-1,HSCHR19LRC_LRC_J_CTG1,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.7p7MPKS-oiqUqWwL80lR42OHfdjfPNDP,GL949744.1,genbank_accession,GL949744.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.7p7MPKS-oiqUqWwL80lR42OHfdjfPNDP,NW_003571046.1,refseq_accession,NW_003571046.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.7p7MPKS-oiqUqWwL80lR42OHfdjfPNDP,HG536_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.8L1QChyEhTJ0Ou0JUEEpP0H-xCoiue1N,GL383571.1,genbank_accession,GL383571.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.8L1QChyEhTJ0Ou0JUEEpP0H-xCoiue1N,NW_003315960.1,refseq_accession,NW_003315960.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.8L1QChyEhTJ0Ou0JUEEpP0H-xCoiue1N,HSCHR18_2_CTG2,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.8WpZeULvL3qqYUSdxv4RyI7BblG0UkU4,GL383533.1,genbank_accession,GL383533.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.8WpZeULvL3qqYUSdxv4RyI7BblG0UkU4,NW_003315921.1,refseq_accession,NW_003315921.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.8WpZeULvL3qqYUSdxv4RyI7BblG0UkU4,HSCHR6_1_CTG5,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.8Wv5t77Yt0CjX3nviWc8xnyco-uUb2Ad,GL383558.1,genbank_accession,GL383558.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.8Wv5t77Yt0CjX3nviWc8xnyco-uUb2Ad,NW_003315947.1,refseq_accession,NW_003315947.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.8Wv5t77Yt0CjX3nviWc8xnyco-uUb2Ad,HG183_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.8_Bsnm6QaKmrLG-ngM7Qole9I04j3_Td,KE332496.1,genbank_accession,KE332496.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.8_Bsnm6QaKmrLG-ngM7Qole9I04j3_Td,NW_004775427.1,refseq_accession,NW_004775427.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.8_Bsnm6QaKmrLG-ngM7Qole9I04j3_Td,HG174_HG254_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.8aqteC5jCbtrr33OmtXu4jGyrmbvzfgM,GL383532.1,genbank_accession,GL383532.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.8aqteC5jCbtrr33OmtXu4jGyrmbvzfgM,NW_003315920.1,refseq_accession,NW_003315920.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.8aqteC5jCbtrr33OmtXu4jGyrmbvzfgM,HSCHR5_2_CTG1,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.8pd48-oTW4pEgtShVMwXkor1_-Ht_5Ue,JH806582.2,genbank_accession,JH806582.2
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.8pd48-oTW4pEgtShVMwXkor1_-Ht_5Ue,NW_004070872.2,refseq_accession,NW_004070872.2
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.8pd48-oTW4pEgtShVMwXkor1_-Ht_5Ue,HG417_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9KdcA9ZpY1Cpvxvg8bMSLYDUpsX6GDLO,CM000664.1,genbank_accession,CM000664.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9KdcA9ZpY1Cpvxvg8bMSLYDUpsX6GDLO,NC_000002.11,refseq_accession,NC_000002.11
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9KdcA9ZpY1Cpvxvg8bMSLYDUpsX6GDLO,2,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9KdcA9ZpY1Cpvxvg8bMSLYDUpsX6GDLO,chr2,ucsc,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9PVd3YWiiMGiUqATuIJGM4klJA_P1_nc,KE332501.1,genbank_accession,KE332501.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9PVd3YWiiMGiUqATuIJGM4klJA_P1_nc,NW_004775432.1,refseq_accession,NW_004775432.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9PVd3YWiiMGiUqATuIJGM4klJA_P1_nc,HG979_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9PlVK5XwCm-Vjd3y9288pGC4qr0vo5OE,GL000222.1,genbank_accession,GL000222.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9PlVK5XwCm-Vjd3y9288pGC4qr0vo5OE,NT_167216.1,refseq_accession,NT_167216.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9PlVK5XwCm-Vjd3y9288pGC4qr0vo5OE,HSCHRUN_RANDOM_CTG14,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9PlVK5XwCm-Vjd3y9288pGC4qr0vo5OE,chrUn_gl000222,ucsc,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9eCeuJy8HFRbkeC9SwZEf6OR-Xw9YesS,GL000255.1,genbank_accession,GL000255.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9eCeuJy8HFRbkeC9SwZEf6OR-Xw9YesS,NT_167248.1,refseq_accession,NT_167248.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9eCeuJy8HFRbkeC9SwZEf6OR-Xw9YesS,HSCHR6_MHC_QBL_CTG1,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9eCeuJy8HFRbkeC9SwZEf6OR-Xw9YesS,chr6_qbl_hap6,ucsc,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9i1AWyJtZplGpqX68JjPc0MlSobZUmC5,JH806597.1,genbank_accession,JH806597.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9i1AWyJtZplGpqX68JjPc0MlSobZUmC5,NW_004070887.1,refseq_accession,NW_004070887.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9i1AWyJtZplGpqX68JjPc0MlSobZUmC5,HG1443_HG1444_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9kvA1SAHFWA7PI91tIMSidKkALqFXbYr,GL877875.1,genbank_accession,GL877875.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9kvA1SAHFWA7PI91tIMSidKkALqFXbYr,NW_003571049.1,refseq_accession,NW_003571049.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9kvA1SAHFWA7PI91tIMSidKkALqFXbYr,HSCHR12_1_CTG1,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9m8kIv2c3Gu2lO0QiVb36Ca4LfGoUlxw,JH720454.3,genbank_accession,JH720454.3
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9m8kIv2c3Gu2lO0QiVb36Ca4LfGoUlxw,NW_003871101.3,refseq_accession,NW_003871101.3
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.9m8kIv2c3Gu2lO0QiVb36Ca4LfGoUlxw,HG1426_PATCH,seqcol_name,
