seqcol_digest,sequence_index,name,refget_digest,length
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,17,NT_113916.2,SQ.DpceVFcK1X1L6lsvIq0tKC0qp2dD835g,169874
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,18,NT_113915.1,SQ.3IMtzIioR9P6hmwAcLFbjPrLHm8n-jZQ,187035
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,19,NT_113911.1,SQ.II3F2oT0mk0KjciIUvziQtHOquqc8_Pg,36148
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,20,NC_000010.10,SQ.-BOZ8Esn8J88qDwNiSEwUr5425UXdiGX,135534747
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,21,NC_000011.9,SQ.XXi2_O1ly-CCOi3HP5TypAw7LtC6niFG,135006516
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,22,NT_113921.2,SQ.vfbJmCvoE6vQMOSTobr0TnNDUpTNprQt,40103
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,23,NC_000012.11,SQ.105bBysLoDFQHhajooTAUyUkNiZ8LJEH,133851895
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,24,NC_000013.10,SQ.Ewb9qlgTqN6e_XQiRVYpoUfZJHXeiUfH,115169878
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,25,NC_000014.8,SQ.5Ji6FGEKfejK1U6BMScqrdKJK8GqmIGf,107349540
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,26,NC_000015.9,SQ.zIMZb3Ft7RdWa5XYq0PxIlezLY2ccCgt,102531392
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,27,NC_000016.9,SQ.W6wLoIFOn4G7cjopxPxYNk2lcEqhLQFb,90354753
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,28,NC_000017.10,SQ.AjWXsI7AkTK35XW9pgd3UbjpC3MAevlz,81195210
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,29,NT_113941.1,SQ.sT2ZnJrlmZM-p20GfB8qMm_LRJSIyc7E,37498
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,30,NT_113943.1,SQ.QdTT6dkTK-BiF9fSf4WNxYgT32IpMFeD,81310
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,31,NT_113930.1,SQ.lsaxkE65UUVeSsgF_1bgSpZODAKAXif6,174588
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,32,NT_113945.1,SQ.nXpYhtwAqXo65qRsbeHbRb9VXWj3HQD9,41001
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,33,NC_000018.9,SQ.BTj4BDaaHYoPhD3oY2GdwC_l0uqZ92UD,78077248
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,34,NT_113947.1,SQ.kpcAjK5AhEhFRhV_U86hPlA5oj2E5sny,4262
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,35,NC_000019.9,SQ.ItRDD47aMoioDCNW_occY5fWKZBKlxCX,59128983
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,36,NT_113948.1,SQ.xg302f-VLyLkkjPMrv8ejUHv4XrETznB,92689
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,37,NT_113949.1,SQ.ANF6sM4plNAk7nPg1K58Vpx7N0nVtAgU,159169
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,38,NC_000020.10,SQ.iy_UbUrvECxFRX5LPTH_KPojdlT7BKsf,63025520
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,39,NC_000021.8,SQ.LpTaNW-hwuY_yARP0rtarCnpCQLkgVCg,48129895
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,40,NT_113950.2,SQ.Lew6ZNRWZcBW8KaqScUV0HTyFU_qDGXS,27682
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,41,NC_000022.10,SQ.XOgHwwR3Upfp5sZYk6ZKzvV25a4RBVu8,51304566
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,42,NC_000023.10,SQ.v7noePfnNpK8ghYXEqZ9NukMXW7YeNsm,155270560
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,43,NC_000024.9,SQ.BT7QyW5iXaX_1PSX-msSGYsqRdMKqkj-,59373566
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,44,NT_113961.1,SQ.traI0om_Wa_tb8BBRkxI1Mpp4gx8TgHs,166566
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,45,NT_113923.1,SQ.RTZguWq8pXb7TU5HcvH7YTN7eWEU8kR2,186858
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,46,NT_167208.1,SQ.1VIfWolFZeqoQU6YO0aj1Vhol9OZPRak,164239
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,47,NT_167209.1,SQ.c4RwKvyuoOY9ze9WWPojiKz6r2znHArq,137718
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,48,NT_167210.1,SQ.IeLPCZedu0UD7rBCpf6YQUQJXJnhf2IP,172545
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,49,NT_167211.1,SQ.MFs3xF5NXzGDYd4-o8R48fTu9KiBLyGC,172294
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,50,NT_167212.1,SQ.XwtbTDF51a49lUNo45BeoHoMbY7YaUoq,172149
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,51,NT_113889.1,SQ.sdL1gDzRGFP-F9sMKtNLSRAnQ-BC84H-,161147
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,52,NT_167213.1,SQ.czO0uwJ6D8tZofzgHPDVnGO6bfq-kYNX,179198
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,53,NT_167214.1,SQ.PED4eU6aiTLsufXivhyWGjbU486sfgsT,161802
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,54,NT_167215.1,SQ.4B6-ZKomKbCP3qJdfB8XKcD2ENOifPCf,155397
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,55,NT_167216.1,SQ.9PlVK5XwCm-Vjd3y9288pGC4qr0vo5OE,186861
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,56,NT_167217.1,SQ.1OPXbmGj5JKtFNm-eRp0W270cgBgsTly,180455
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,57,NT_167218.1,SQ.7Fmp4pU2KBOtIhW2ZeL6CXxGP4sy606F,179693
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,58,NT_167219.1,SQ.KuhqeekACzuyI14I7mL58jVhKFU3Sm_6,211173
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,59,NT_167220.1,SQ.rJFy652rJMoL5PqH-PiqrJ1zpHc4uUiz,15008
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,60,NT_167221.1,SQ.qSkhYqNqnoNUTjUPX8Md8fyKL8zZ2F4I,128374
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,61,NT_167222.1,SQ.tSqePp0derRg791hQeIUpCdeWG3h5ANK,129120
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,62,NT_167223.1,SQ.du5ydl6l4jzenxq6QSdajUIV_trdW9-J,19913
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,63,NT_167224.1,SQ.xbCrwhn7Fblv0QwsSG5fmwKm0KRXEwUv,43691
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,64,NT_167225.1,SQ.7C__QM-xdQ4U_VbZNyLKqaCmq1alAsAw,27386
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,65,NT_167226.1,SQ.gu9uA4qtsocLUOm1CKLqq4Lr24q1Wh98,40652
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,66,NT_167227.1,SQ.LW9Plw1K8o2hbhlnIfchHxe88uxW5fee,45941
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,67,NT_167228.1,SQ.oBgXlGXs-9D-BIuWYGZ9VAdyfBkv4ko6,40531
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,68,NT_167229.1,SQ.YPOeiq_9uTtIsMUja9AqKO_NbDm91yuZ,34474
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,69,NT_167230.1,SQ.RNzX11H890dfkdlWjyXaUlSxj6LKv_bp,41934
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,70,NT_167231.1,SQ.yaxXD4VEMF3-FwAYxPzAKfNDu5_JdXJH,45867
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,71,NT_167232.1,SQ.F1dafeyt7rhA_8dHI4drAEsc9n0UbAd0,39939
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,72,NT_167233.1,SQ.IZlunX_aR7RX1WJKyZM0cnKFW4YY6dzi,33824
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,73,NT_167234.1,SQ.th33VVELCKOd0dhT-P_v4jof3AUPWIUr,41933
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,74,NT_167235.1,SQ.BNgvT6xtaD6881pEbYrBVMaljpU2HdgX,42152
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,75,NT_167236.1,SQ.FrD5yGArHZZyZq1FQfSksQacpe4J7a3m,43523
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,76,NT_167237.1,SQ.sJjlbRvT5jiqYgUC40aadDFUKp7C_xxe,43341
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,77,NT_167238.1,SQ.guyz6uCkbSzKOE1QVcDE2cvd5fCFNbCf,39929
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,78,NT_167239.1,SQ.GD1VIV3PDw_fJDLkPQ2E0AuiQ7d-FGLn,36651
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,79,NT_167240.1,SQ.TiBSRh_dGfiWea48SOQEhMsNzy0LnzaK,38154
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,80,NT_167241.1,SQ.IFj5Y607NHkMgQJKUZEi_j5bH6qKs53k,36422
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,81,NT_167242.1,SQ.h_JCKE33z8mP_oQe83hcdSs1e19T_iFU,39786
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,82,NT_167243.1,SQ.uoSgKLeuWYiGisqvYYO1S7nhczOt1cv7,38502
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,83,NW_004070864.2,SQ.afhL3kN4HLz4xOj8YillpIlEnM6eB_J-,22982
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,84,NW_003571030.1,SQ.DDlpI8vtCzxnEQz-QZSf5-rDoCv6e9_z,151551
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,85,NW_003871056.3,SQ.JygvPcIfgIzDUmsJqDxyX6bKi65PxuFk,1676126
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,86,NW_003871055.3,SQ.CN9B0KUHy5Kb8UrM4bs-hrora8ljQtiF,7283150
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,87,NW_003315905.1,SQ.bRYaT5HlTMUTpUWpM4jKan96syvtKX3S,182439
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,88,NW_003315906.1,SQ.9xCYXFBVQDc7dfIKolvEEKLm8Uu3hysH,110268
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,89,NW_003315907.1,SQ.GAjgCgvGJHzqyG5B3eUzpVcHt6pnhWHO,366579
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,90,NW_004070863.1,SQ.MHjJGWE2aBs0JVGBb9Auh2vfDvI59bPn,24680
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,91,NW_003871057.1,SQ.LA2InLJeP6LU5UIKGftKAdiqBt-7qHBv,758378
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,92,NW_004070865.1,SQ.AfE2nSWsYDlQ8kosjO4bK4TEJJgjj6K5,47409
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,93,NW_003315903.1,SQ.rtF6N9-KMm7J0G4LrAumXo7KZtb4vhXD,49316
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,94,NW_003315904.1,SQ.jbzb9K-X3tSbbJVs9a44ATjtTtB-eesu,49352
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,95,NW_003315908.1,SQ.Ty1MZgCXzlCF81bA1yojF4tQL3zpP-61,143390
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,96,NW_004504299.1,SQ.ClzbPWm_89Ap39yo8LEKxClJEiFGWBwE,599580
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,97,NW_003571032.1,SQ.2boxphNca4urkC4mSa6VVm9wia0VXcW-,389939
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,98,NW_003571033.2,SQ.10yp1VWMurzO9zF1l7rhscuh_oRLSTew,96131
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,99,NW_003315909.1,SQ.V0CMtzYdkge7BgW5bmxhi0jlzyvuRY0L,123821
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,100,NW_003571031.1,SQ.HogrmZbwvJcyVUDCEGiTYvOqr0Y4snk_,66021
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,101,NW_003871060.1,SQ.5NFYPLvdlDVlaeC9OTBrBNXPR6MIQhTT,173151
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,102,NW_003871059.1,SQ.nEA2AyZexsdfI1fJ_JZCMZZXcbExMyQ2,100694
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,103,NW_003315910.1,SQ.cZIw1AhdAmu_gfhlUrlzfHqmF9_wm_wb,171362
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,104,NW_004775426.1,SQ.T31BYNzoDjFnMrDTuMwzngMbtf2xFKME,263861
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,105,NW_003315911.1,SQ.MJb0zf-41TeSNwdT2zPRDieWo5uZxW57,78793
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,106,NW_003871058.1,SQ.MB-4aUbIuKFw0dsKdORnhZ8gIXVSsj3J,393769
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,107,NW_003315912.1,SQ.LKVZo01RoixO1k-ffblawRQNBjyqb4qi,65063
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,108,NW_003315913.1,SQ.GUN8-TYOZWIwvkcWk4bCnaEPxBMwMTdn,180671
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,109,NW_004775427.1,SQ.8_Bsnm6QaKmrLG-ngM7Qole9I04j3_Td,503215
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,110,NW_003315915.1,SQ.OksgIOusUef0rdKcDyt0NB9MkqaaAVj0,376187
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,111,NW_003315916.1,SQ.uFz0BySK5T7u0nWZfcJxqM8tCQgk3kJV,121345
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,112,NW_003571035.1,SQ.v0G9iBe66wTxARcf6zF33zRc9_2k6qQb,248177
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,113,NW_003315914.1,SQ.PZYl7DEKtgH9B4KBRqe1D_Z2XbZmqRfB,164536
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,114,NW_003571034.1,SQ.TxEuEgmPMcvVFDXc_oLpcZOw5taF2J6g,297485
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,115,NW_003315920.1,SQ.8aqteC5jCbtrr33OmtXu4jGyrmbvzfgM,82728
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,116,NW_003571036.1,SQ.SOVDMTYGIxAemENYORhBIKG1UtMN-Cxx,226852
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,117,NW_003315917.2,SQ.eoMIu0vekNCOHBLKD0EwW7XJp-siHEGF,1612928
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,118,NW_003315918.1,SQ.UQf4P8h55Z6EdK5tczmAACezbKN5QQev,101241
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,119,NW_003871061.1,SQ.tUWgcxh6XK4NvM98KhqC1zVOG208JLk_,266316
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,120,NW_004775428.1,SQ.cms5e0oj4tQBx-U7s_Up1ro3S1MNVrwC,543325
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,121,NW_003315919.1,SQ.buP2JSI5lAEk8i2XtyuGWf94SwMg13cZ,173459
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,122,NW_004070866.1,SQ.r910AHW0Vhwl6tyQIPq9T58N6rOGEHMV,273386
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,123,NW_003871063.1,SQ.ucWXh-_OoiOm7wRAYMe1992G0UhvjOBm,200195
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,124,NW_003315921.1,SQ.8WpZeULvL3qqYUSdxv4RyI7BblG0UkU4,124736
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,125,NW_004504300.1,SQ.R__E8KtK1gr4H-YpppnYHl1_G0kSNytU,478993
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,126,NW_003871062.1,SQ.3OZGaD9gewowtxWoC5B1CJ5By7Czsl1v,262912
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,127,NW_004775429.1,SQ.TTjImcojLEHYhERdMFZ8R0JGRPnw5Vic,149443
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,128,NW_004166862.1,SQ.Un1GYUcihKIkQud_HM0sq17zRauqOTIc,187824
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,129,NW_003571039.1,SQ.QB_zaWLSQnvSbU6xS1Fo7ULJ68yPbqxo,354970
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,130,NW_003571038.1,SQ.PLxmtQKhOmeskBBsLNIn1R4HJ72SGkPJ,251823
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,131,NW_004775430.1,SQ.MKP_EAXbLzkKQz7opdTywvcOTtLZfKZf,274521
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,132,NW_003871064.1,SQ.giMav2kqsLax_gSQQy68mT9MjsDIURSQ,3821770
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,133,NW_003571041.1,SQ.6qs0cVz5cg1ixn4oosY3LufJfAztgSji,327774
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,134,NW_003571037.1,SQ.HkHSbMByGbkQoBAzYO8zTxYzXWt8e7i9,356330
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,135,NW_003871065.1,SQ.ExJecHbUrCVxWkCTYNU8OtHlDbw-tJI7,716227
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,136,NW_003315922.2,SQ.ZO3XajuY2WdIU8H0b3dSx5KYK8m9M82O,119183
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,137,NW_003571040.1,SQ.MP5Oidlp7jR1kmjgkTs-PMmVAL093_wA,1284284
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,138,NW_003571042.1,SQ.oX9dgz7hvdPCHQ2ySxFp0_dFiR8TCrdw,608579
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,139,NW_004775431.1,SQ.q6r8D-qniMLKlxAU7znVCJVX1cAC3Psm,228602
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,140,NW_003871066.2,SQ.VF0_IQ8IoEByFDFjRFURqNnrcjId2V-U,102251
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,141,NW_003315923.1,SQ.x4sDr-Kr5wkLjkBo4HYnzPFcfTnRaFdP,429806
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,142,NW_003315924.1,SQ.499Ze6SAR-RGaHRnZSDxj4gOvUR1xVh1,203777
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,143,NW_003315928.1,SQ.Qmg0fzIrKNmbX_QaMvYDZ34Nvzac7d0J,162988
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,144,NW_003871067.1,SQ.T36nv1_QK6P6veHQRyfl5sdsUBut08h9,295379
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,145,NW_003315929.1,SQ.OZtXLFtnb_IngRA_3wo74PtIfGN9zU-j,71551
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,146,NW_003315930.1,SQ.M6XTiISr1Sm1DPXEuWgviX8Y2Ct0viGi,171286
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,147,NW_003315931.1,SQ.xG6X1niZL5ka910ne1W_3IKQG1papFZC,60032
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,148,NW_004504301.1,SQ.GjKyHbO3eTfZwIsvQEhUpNetadH0w4dW,155926
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,149,NW_004070869.1,SQ.4TN2_zia1kax3s2FbzEm8_l3ZM7YTZmF,211307
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,150,NW_003315925.1,SQ.vqdu1YaXoDAVBIEhpc-1RuMdKOCU3LFR,330164
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,151,NW_004070867.1,SQ.BBTbm0Gb4Fx_fASVjO4vRhE-0U0Gh9gQ,22394
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,152,NW_004070868.1,SQ.CobqLTC7QTD3nNmdqLtR6uIn53e0ViWb,169437
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,153,NW_003315926.1,SQ.r-u1Pt9AkWkVimi-ROTfrC7PCA36vkHC,62435
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,154,NW_003315927.1,SQ.bqpEPqgc9Ve93Mvt7baCdRylk8GlXmGX,49281
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,155,NW_003571043.1,SQ.OR93_gJn6V8muXmPfTveyfPPzDs8EK45,168465
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,156,NW_003871071.1,SQ.MsCFc-CHcAzjoInFLyuhPmeRmN2L_ecD,437946
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,157,NW_003315932.1,SQ.-2wMOKUhahXlOxSf7hjSCWQ12S1-iF96,392792
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,158,NW_003315934.1,SQ.ijki8zwyFOmILREuoZz7EKaDeJo6hzK6,179254
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,159,NW_003315935.1,SQ.b5d7dSEHLxpJni97NTBxDyUvjPeOpikI,309802
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,160,NW_003871068.1,SQ.738_UZ9iXX-9TyPzrPB68doUMKkpN7sh,2281126
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,161,NW_004504302.1,SQ.WZ2V7XH5Df3cPLfYeZbc2G2Tl2-h0hsF,305900
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,162,NW_003871070.1,SQ.XpWfvPxOUPGXWxBoxKNQz2tnAbHQTaQO,177920
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,163,NW_004775432.1,SQ.9PVd3YWiiMGiUqATuIJGM4klJA_P1_nc,1020827
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,164,NW_003871069.1,SQ.OR1Odpym5wWBIqE7_OJ5yysONTIFON54,196262
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,165,NW_003315933.1,SQ.tDvnQrjYqu-jjsz7XaCityF40OsLabKG,128378
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,166,NW_004070870.1,SQ.F9IzoXD94rUBIPtkEXiPbHa0vZhVaQgR,93149
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,167,NW_003871075.1,SQ.MEmzzqJFXRHVxbY6lkTJ8nysH6cGcAGa,462282
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,168,NW_003871082.1,SQ.51PUjeWAbT2GqyViSiTuitjc9mwNQhhX,167437
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,169,NW_003315936.1,SQ.YpEMyhzoYs_11s_DfsfaLB8uQo__ffTG,154407
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,170,NW_003571045.1,SQ.WurmRgXgFkbY6-Z7A3A4O_CbjPhqSlos,321004
